text,label
 i tested positive for covid risk senior diabetic i dentist feeling tired sore i grateful for,1
 tested positive for,1
 probably word for my covid positive map covid test mayo painted covid test instructions confirmed my covid positive,1
 genuine emergency commissions i tested positive for covid for if i afford foodif you afford share,1
 i officially covid my,1
 tested positive for tested negative i left kabul my sat plane dubai coughed i i plan read watch lot eat lot lot,1
 finally caught covid,1
 i tested positive for covid will for couple commissions cover my lost retweets super appreciated if dm,1
 guys i tested positive for covid if you my concert yesterday tests stay,1
 positive for i positive jan fine,1
 i tested positive for covid i i i never,1
 my boss me tomorrow covid positive,1
 my meticulously avoiding covid for chatting our neighbor prob feet car break chat she i probably stay i tested positive for covid,1
 i tested positive for,1
 covid for i test i hard avoid vaccinated i immunocompromised kicking my protect wear,1
 i tested covid positive for i treatment suggested my request contact me days tested,1
 announced i tested positive for i apologize for inconvenience concern may recovery address my time continue support,1
 i tested for my life contact me stay relaxed they will test for,1
 i wanna i tested covid positive spending days holed my i did worry announcing i mild vaccine,1
 yesterday i tested for covid positive now hard patient care ur health stay safe,1
 i instead submitting my positive covid test text message evidence for my mitigating i submitted hurl myself,1
 i covid symptoms days guidelines i can isolation i rapid test morning contagious day rapid tests save distribute them,1
 ten days positive covid i finally feel back normal can leave bloody house sicker i if mild vaccines fucking,1
 i tested positive for covid physically fucked happy we won yesterday aghh feels dream,1
 my mom tested positive for i caught feeling absolutely garbo standing me feel nauseous hoping recover bc i can binge watch youtube,1
 covid my report mains exam center kms studied for days i will,1
 can i fat comments tested positive for,1
 tested positive for strong i quarantined myself you lightly covid horribly mask,1
 tested positive for now feeling too bad my i hope move my legislation tomorrow remotely continue my ministerial duties my mla commitments for people north belfast remotely,1
 for participating actively feeling yesterday unfortunately today i tested positive for deserves bb trophy,1
 btw guess tested positive for covid yesterday sick mother fucker,1
 i tested positive for covid i joking lmao,1
 everyone monday i tested positive for,1
 i tested positive for my symptoms milder my infection prior vaxxed i will follow cdc guidance isolate for we continue live die you love,1
 wife child positive i week month everyone house sick they economy,1
 tested positive for covid pray,1
 tested positive for covid mild i isolated myself request contact me week tested care,1
 downtime you shortly i tested positive for covid unfortunately i i sadly sick sign slow,1
 my sister i live vienna bgt auditions for we tickets for booked our hotel did now i tested positive for covid we cancel,1
 bit quiet shamrock covid houseyoung son positive days positive days wife positive continued eldest son,1
 tested positive for gonna lie absolutely buzzing,1
 my free covid test mail earlier vaxxed i tested positive for covid i protocols test my covid test i,1
 i tested positive for covid,1
 agh i did covid test im im annoyed,1
 i tested positive for covid smh,1
 i without i my second dose vaccine weeks ago today i tested positive for covid,1
 i tested positive for covid hours ago my school me back wednesday i dont symptoms now,1
 i tested positive for told site workers guess single person caught died for zealous analogy,1
 my effort wearing i tested positive for quarantining i feeling weather i severe remember boosted wear,1
 positive for covid,1
 i my test my covid sadly suck i my worst beautiful vocals me isolated for my pile,1
 my covid mantra testing positive day will patient i will stress my resting i will feel lazy,1
 our we tested positive for covid involved sweet night,1
 could i for prayers vibes compliment my hubby i tested positive for i prayers vibes,1
 bruh my worst nightmare i tested positive for covid i never,1
 im positive i developed yesterday saturday tho i peculiar i covid week prior mild im hoping lasts for months developed,1
 sending uglies infected me covid coloured kisses i tested positive,1
 nah i tested positive for time i managed covid free now i,1
 matter today i tested positive for,1
 testing positive for covid biggest blessing i days,1
 i confined i tested positive for can you follow me send me message brighten my,1
 i eat for week positive for positive finally week i eat minor i can finally light horizon start illness,1
 night shirts you white chosen will são paulo concert i tested positive for feel better if you could send me you,1
 art tested positive for covid,1
 tested positive for i start my job rent coming i grocery shop i now,1
 hahahahahaha my fucking luckmy covid test back positive,1
 me living my me testing positive for me realising i now spend money week,1
 i tested positive for covid friday worse symptoms for days i feel back normal today vaccinated lol,1
 positive covid,1
 i can you mild covid bitch for exception day weeks days i tested positive absolute jeezzzzzz,1
 streams i officially covid week love,1
 my job for proof they can approve my paid leave i provided my positive covid test fuck,1
 i tested positive for covid told me back tomorrow,1
 i avoid covid for i avoid i tested positive hoping,1
 me tests rapids finally positive covid test i i negative rapid positive pcr idkkk kinda sketchy meeee,1
 noooooo noooooo i covid test never positive fuck,1
 day i me testing positive for covid today probably day starting physically feel better tired my energy level low,1
 tested positive for covid literally hours ago i back school days,1
 avoided covid entire time bruh todayyyyy i gotta test positive,1
 i tested positive for covid i afford for i my coworkers cough em,1
 phones i isolating december my positive covid result december lodged my claim for pandemic leave payment receive,1
 days isolation forward tested positive for covid joyous i i plate truck hit me,1
 tested positive for im pain,1
 covid positive bro fml feels i move dawg,1
 magic cards i figure blame tested positive thankfully feeling better intense,1
 tested positive for god i vaccinated,1
 i freaking i tested positive for triple vaxd i scared angry assholes keeping i,1
 hey i covid strikes fear our lethal we rethink our life redefine i regular i chance till i tested,1
 i opinion i can stressing travel hours notice our booster caught covid if i test positive day my kids,1
 tested positive for covid,1
 covid for weeks i tested positive morning i bills uh fun,1
 test positive for covid i can now my future kids i participated global pandemic,1
 week i car accident week tested positive for can you me positive,1
 tested positive for covid i care yourself i disease,1
 ya boi tested positive for i feel too i feel stay safe,1
 finally tested positive lateral flow extremely faint my pcr will fucking,1
 i tested positive for covid twice my dad my geometry teacher me,1
 damn tested positive for covid taste my tea vibe tbh,1
 i covid myrtle i sick sunday tested positive lateral flow day i my tested negative times my immune system failed me,1
 tested positive for covid my we vaccinated feels terrible god for cannot imagine,1
 positive vibes i suddenly personality i covid,1
 my bill now mention i tested positive for covid feasible weeks pay,1
 tested positive for covid today i vaccinated boostered i never ill my,1
 month testing positive for covid post symptoms days days today sucks,1
 i tested positive weeks ago pretty covid me,1
 i tested positive for covid december i slowly,1
 i blessed me testing positive i feel taste smell breathe without pls tested regularly if you experiencing,1
 upset i missed i wake for test positive for covid today stayed watched called,1
 testing positive for covid my hr i doctors note quarantine wth,1
 i tested positive yesterday praying eric covid recovers stays safe,1
 my official positive covid test,1
 i reas your comment i you meant you vaccinated regret unvaccinated tested positive for covid sniffles flu better,1
 i tested positive for covid jan now my breathing my lungs feel tight i winded,1
 i started my period day i tested positive for day i my now day i my second if god hates me he can,1
 avoiding covid for i tested positive today my local health i i glad vaccinated i will drinking fluids resting for,1
 ummm i tested positive for covid,1
 tested positive for fuck,1
 cdc you can back days positive covid test i i feel fine today my doctor me days positive test me months appointment system,1
 if i tested positive for covid my birthday now bday offer expires fast i didnt mine can i redeem for my lol,1
 i tested positive for days i every i for your,1
 happen stream front tested positive for covid luckily my symptoms pretty mild i feel super catch you folks your amazing,1
 i i luck i tested positive for covid i won day euromillions jackpot,1
 i positive for john started symptoms days ago test today,1
 if i tested positive for covid my birthday now bday offer expires fast i didnt mine can i stars redeem for my lol,1
 welp i tested positive for covid mild symptoms sore throat kinda disappointed hoping i pandemic without,1
 positive for too positive for,1
 tested positive for stream schedule will touch for feels symptoms,1
 i tested positive for covid my day student teaching jesus christ,1
 tested positive for covid starting,1
 me testing positive for covid months,1
 i tested positive for covid scared quarantine will affect my mental i stay i my head back i will focus music keeping my body,1
 i received my booster shot oct nov i tested positive covid received monoclonal i mild symptoms tested negative pcr test i experienced mild,1
 severe head infection i did test positive for covid time i covid i for weeks i,1
 symptoms dec tested positive for covid again dec my mild symptoms i you immunity i catching current variants,1
 tested positive for bitch i dont leave my house,1
 i vaccinations booster i tested positive for covid vaccine i mild symptoms hospital bed for,1
 i tested i i days isolation i netflix couch i,1
 ya girl tested positive for covid careful scapegoated gaslit portions my family for i unwell,1
 cough worse again month tested positive for covid super sick feeling effects subhanallah,1
 covid,1
 i complain lot my i praise for paid sick leave i quarantine positive covid test,1
 yeah my tested positive for covid week weird constant congestion myself thinking money vaccine corporations shit,1
 tested positive i,1
 i tested positive for covid flow notice i symptom i brain fog unusual for me caught chest infection my daughter,1
 pcr gonna finish telling me i tested positive i covid testing negative i booked my flight tomorrow afternoon,1
 spend tuesday day online im positive for covid,1
 black eye dislocated my tested positive for cryptos crashed ive exam i havent revised for thursday week superbly,1
 covid positive,1
 my vacation extended i tested positive for covid for days,1
 covid for week my boyfriend watch version pride prejudice me facetime ya i guess you could i chillest girl,1
 they me covid test positive,1
 hey i tested positive for covid super sick break i hope girls their win,1
 literally tested positive for covid,1
 i covid my wife tested i slight body yall vaccinated booster weeks,1
 my test result dated january fit fine i happy i isolated myself completed my isolation period honestly couple people i contact days i did covid,1
 vulnerable sunday tested positive for covid symptoms week my mood slumped sad i unvaxxed,1
